15:01:11 07.07.2019|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36|127.0.0.1|plkiid/newspage.php?news_id=5|
15:02:01 07.07.2019|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36|127.0.0.1|plkiid/courses.php|
15:02:01 07.07.2019|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36|127.0.0.1|plkiid/courses.php|
15:04:19 07.07.2019|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36|127.0.0.1|plkiid/courses.php|
15:04:20 07.07.2019|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36|127.0.0.1|plkiid/courses.php|
15:04:23 07.07.2019|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36|127.0.0.1|plkiid/news.php|
15:04:23 07.07.2019|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36|127.0.0.1|plkiid/news.php|
15:04:29 07.07.2019|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36|127.0.0.1|plkiid/newspage.php?news_id=7|
15:04:29 07.07.2019|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36|127.0.0.1|plkiid/newspage.php?news_id=7|
15:06:33 07.07.2019|Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Mobile Safari/537.36|127.0.0.1|plkiid/newspage.php?news_id=7|
15:12:59 07.07.2019|Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Mobile Safari/537.36|127.0.0.1|plkiid/newspage.php?news_id=7|
15:13:26 07.07.2019|Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Mobile Safari/537.36|127.0.0.1|plkiid/newspage.php?news_id=7|
15:15:16 07.07.2019|Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Mobile Safari/537.36|127.0.0.1|plkiid/newspage.php?news_id=7|
